depth_m,b59_ang201,b60_ang201,b61_ang201,b62_ang201,b65_ang201,b67_ang201,b73_ang201,b74_ang201,b76_ang201,b78_ang201
0.56388,0.035282,0.0349291,0.0337226,0.0328988,0.0276701,0.0245757,0.0108191,0.0104776,0.01098,0.0105631
0.56388,0.035282,0.0349291,0.0337226,0.0328988,0.0276701,0.0245757,0.0108191,0.0104776,0.01098,0.0105631
0.56388,0.0344717,0.0336249,0.0338636,0.0324856,0.0267884,0.0233663,0.0071296,0.0073195,0.0075871,0.0077462
0.56388,0.0365088,0.0365474,0.0356094,0.0343351,0.0282826,0.0251516,0.0082157,0.0081755,0.0084386,0.0083691
0.664464,0.0386494,0.0387248,0.0371215,0.0361205,0.0312002,0.0263645,0.010529,0.0103532,0.0112893,0.011146
0.664464,0.0349486,0.0347454,0.0342474,0.0333239,0.0270715,0.0231808,0.0064195,0.0070167,0.0064194,0.0070059
0.664464,0.035789,0.0354336,0.0349501,0.0330778,0.0270526,0.024042,0.0067524,0.0072492,0.0074046,0.007687
0.664464,0.0377556,0.0375853,0.0366232,0.0354036,0.0293767,0.0262592,0.007668,0.008133,0.0081502,0.0084475
0.664464,0.0377556,0.0375853,0.0366232,0.0354036,0.0293767,0.0262592,0.007668,0.008133,0.0081502,0.0084475
0.664464,0.0365599,0.03765,0.0355886,0.0350605,0.0287731,0.0245256,0.0071643,0.0081628,0.0076174,0.0080577
0.664464,0.0362365,0.0354518,0.0354191,0.0341559,0.0281708,0.0251112,0.0066262,0.0073061,0.0079577,0.0080736
0.664464,0.0377622,0.0370537,0.0369086,0.0358557,0.0289663,0.0260326,0.0081844,0.0089081,0.0084888,0.0087915
0.664464,0.037126,0.0366149,0.0360889,0.0351956,0.0287465,0.0251717,0.0078018,0.0081938,0.0083233,0.008756
0.664464,0.0347551,0.0356189,0.0343318,0.0335089,0.0275356,0.0247831,0.0093821,0.0093647,0.0091376,0.0092222
0.664464,0.0347551,0.0356189,0.0343318,0.0335089,0.0275356,0.0247831,0.0093821,0.0093647,0.0091376,0.0092222
0.664464,0.0336191,0.0334307,0.0327609,0.0316758,0.025056,0.0234558,0.0078152,0.0088128,0.0084544,0.0088359
0.664464,0.0373216,0.036684,0.0365258,0.0358054,0.0295769,0.0264465,0.0080324,0.0086801,0.008529,0.0088791
0.664464,0.0359181,0.036722,0.0348902,0.0343462,0.026688,0.0245546,0.0083874,0.0089104,0.0088219,0.0087148
0.664464,0.0359181,0.036722,0.0348902,0.0343462,0.026688,0.0245546,0.0083874,0.0089104,0.0088219,0.0087148
0.664464,0.0356883,0.0360994,0.0349882,0.0337389,0.027248,0.023938,0.0066073,0.0067503,0.0070591,0.0074949
0.664464,0.0368757,0.0378109,0.0361847,0.0352547,0.0287479,0.0248718,0.0079167,0.0084321,0.0078233,0.0081299
0.66548,0.0376839,0.0378903,0.0370826,0.035517,0.029105,0.0249957,0.0081315,0.0081545,0.0081457,0.0083815
0.661416,0.038583,0.0386427,0.0382179,0.0367439,0.029183,0.0260961,0.0079136,0.0083214,0.0077673,0.0079831
0.621792,0.0391794,0.0389407,0.0392215,0.0366109,0.0299531,0.0261629,0.0076723,0.0077957,0.0076215,0.0078776
0.621792,0.0382777,0.0381406,0.0368589,0.0366452,0.0294987,0.0264817,0.0091936,0.0090596,0.0087158,0.0087003
0.621792,0.0382777,0.0381406,0.0368589,0.0366452,0.0294987,0.0264817,0.0091936,0.0090596,0.0087158,0.0087003
0.621792,0.0386266,0.0376748,0.0368993,0.0362201,0.0305314,0.0264664,0.0101182,0.0094483,0.0097403,0.0095869
0.621792,0.0362417,0.0371006,0.034843,0.0343636,0.0284873,0.0263886,0.0100733,0.010687,0.0098012,0.0101264
0.621792,0.036706,0.037507,0.0355801,0.0353253,0.0294427,0.0259152,0.0096633,0.0101716,0.0098058,0.0099284
0.621792,0.0379782,0.0384544,0.0362339,0.0355837,0.0296526,0.0252921,0.0096108,0.0098905,0.009411,0.0097869
0.621792,0.0374811,0.0374238,0.0367585,0.0367472,0.0301617,0.0257992,0.0100395,0.0101369,0.010375,0.0101317
